,º§Æ®Ã³Áü,
[2023/06/01] 16:15:18,157.000000,
[2023/06/01] 16:15:19,175.000000,
[2023/06/01] 16:15:20,169.000000,
[2023/06/01] 16:15:21,165.000000,
[2023/06/01] 16:15:22,149.000000,
[2023/06/01] 16:15:23,161.000000,
[2023/06/01] 16:15:24,729.000000,
[2023/06/01] 16:15:25,148.000000,
[2023/06/01] 16:15:26,152.000000,
[2023/06/01] 16:15:27,167.000000,
[2023/06/01] 16:15:28,151.000000,
[2023/06/01] 16:15:29,153.000000,
[2023/06/01] 16:15:30,187.000000,
[2023/06/01] 16:15:31,172.000000,
[2023/06/01] 16:15:32,148.000000,
[2023/06/01] 16:15:33,168.000000,
[2023/06/01] 16:15:34,187.000000,
[2023/06/01] 16:15:35,146.000000,
[2023/06/01] 16:15:36,163.000000,
[2023/06/01] 16:15:37,190.000000,
